iter	Passed	Remaining
424	1975	2672
425	1982	2670
426	1985	2664
427	1991	2661
428	1994	2655
429	1997	2648
430	2001	2641
431	2020	2656
432	2024	2651
433	2028	2644
434	2032	2640
435	2035	2633
436	2038	2626
437	2041	2620
438	2049	2618
439	2054	2614
440	2057	2608
441	2084	2631
442	2087	2624
443	2094	2623
444	2126	2652
445	2133	2650
446	2137	2644
447	2140	2637
448	2143	2629
449	2173	2656
450	2176	2649
451	2180	2643
452	2183	2636
453	2186	2630
454	2190	2623
455	2196	2620
456	2199	2613
457	2202	2606
458	2210	2605
459	2213	2598
460	2216	2591
461	2222	2587
462	2228	2584
463	2231	2577
464	2234	2570
465	2240	2568
466	2244	2562
467	2258	2566
468	2261	2560
469	2264	2553
470	2271	2551
471	2274	2544
472	2277	2537
473	2282	2533
474	2312	2555
475	2316	2550
476	2320	2544
477	2323	2537
478	2327	2531
479	2331	2525
480	2334	2518
481	2337	2512
482	2340	2505
483	2360	2516
484	2366	2512
485	2369	2505
486	2372	2499
487	2375	2492
488	2399	2507
489	2402	2500
490	2405	2493
491	2408	2487
492	2413	2482
493	2416	2475
494	2420	2468
495	2423	2462
496	2426	2456
497	2439	2459
498	2454	2464
499	2458	2458
500	2462	2452
501	2466	2446
502	2469	2439
503	2472	2433
504	2480	2431
505	2483	2424
506	2486	2417
507	2490	2411
508	2496	2407
509	2499	2401
510	2502	2394
511	2505	2387
512	2509	2382
513	2513	2376
514	2516	2369
515	2520	2364
516	2523	2357
517	2527	2352
518	2530	2345
519	2534	2339
520	2536	2332
521	2541	2327
522	2544	2320
523	2546	2313
524	2548	2306
525	2551	2299
526	2553	2291
527	2558	2286
528	2560	2279
529	2562	2272
530	2565	2266
531	2568	2259
532	2574	2255
533	2576	2248
534	2579	2242
535	2581	2235
536	2584	2227
537	2588	2223
538	2591	2216
539	2594	2209
540	2596	2202
541	2598	2196
542	2601	2189
543	2605	2184
544	2608	2177
545	2610	2170
546	2612	2163
547	2615	2157
548	2618	2151
549	2621	2145
550	2624	2138
551	2628	2133
552	2632	2127
553	2639	2125
554	2643	2119
555	2647	2114
556	2654	2111
557	2658	2105
558	2662	2100
559	2669	2097
560	2672	2091
561	2676	2086
562	2680	2080
563	2687	2077
564	2690	2071
565	2694	2065
566	2700	2062
567	2704	2057
568	2708	2051
569	2711	2045
570	2719	2043
571	2724	2038
572	2728	2033
573	2735	2030
574	2739	2024
575	2742	2019
576	2749	2015
577	2752	2009
578	2755	2003
579	2758	1997
580	2764	1993
581	2767	1987
582	2769	1981
583	2772	1975
584	2775	1968
585	2780	1964
586	2782	1957
587	2785	1951
588	2787	1945
589	2789	1938
590	2792	1932
591	2796	1927
592	2799	1921
593	2801	1914
594	2803	1908
595	2806	1902
596	2810	1897
597	2813	1891
598	2815	1885
599	2818	1879
600	2823	1874
601	2827	1869
602	2830	1863
603	2832	1857
604	2836	1851
605	2841	1847
606	2844	1841
607	2846	1835
608	2848	1829
609	2851	1822
610	2856	1818
611	2858	1812
612	2860	1805
613	2862	1799
614	2865	1793
615	2867	1787
616	2872	1783
617	2874	1777
618	2877	1771
619	2879	1765
620	2881	1758
621	2885	1753
622	2888	1747
623	2890	1741
624	2892	1735
625	2895	1729
626	2897	1723
627	2904	1720
628	2907	1714
629	2909	1708
630	2912	1702
631	2914	1696
632	2919	1692
633	2921	1686
634	2924	1681
635	2927	1675
636	2930	1670
637	2935	1665
638	2937	1659
639	2939	1653
640	2942	1647
641	2944	1641
642	2947	1636
643	2950	1631
644	2953	1625
645	2955	1619
646	2957	1613
647	2959	1607
648	2965	1603
649	2967	1597
650	2969	1592
651	2972	1586
652	2977	1582
653	2979	1576
654	2982	1570
655	2984	1565
656	2986	1559
657	2988	1553
658	2993	1549
659	2996	1543
660	2998	1537
661	3000	1532
662	3002	1526
663	3005	1520
664	3009	1515
665	3011	1510
666	3014	1504
667	3017	1499
668	3020	1494
669	3025	1489
670	3027	1484
671	3029	1478
672	3034	1474
673	3040	1470
674	3042	1464
675	3045	1459
676	3047	1454
677	3050	1448
678	3055	1444
679	3057	1439
680	3060	1433
681	3062	1427
682	3064	1422
683	3067	1417
684	3072	1412
685	3074	1407
686	3076	1401
687	3079	1396
688	3081	1390
689	3085	1386
690	3088	1381
691	3090	1375
692	3093	1370
693	3095	1365
694	3098	1359
695	3102	1355
696	3105	1349
697	3108	1344
698	3110	1339
699	3113	1334
700	3117	1329
701	3120	1324
702	3122	1319
703	3125	1314
704	3129	1309
705	3134	1305
706	3136	1300
707	3139	1294
708	3141	1289
709	3143	1284
710	3145	1278
711	3151	1274
712	3153	1269
713	3156	1264
714	3158	1259
715	3161	1253
716	3166	1249
717	3168	1244
718	3170	1239
719	3173	1233
720	3175	1228
721	3179	1224
722	3183	1219
723	3186	1214
724	3188	1209
725	3190	1204
726	3192	1198
727	3198	1194
728	3200	1189
729	3202	1184
730	3204	1179
731	3207	1174
732	3212	1170
733	3215	1165
734	3217	1160
735	3221	1155
736	3223	1150
737	3229	1146
738	3232	1141
739	3235	1136
740	3238	1131
741	3242	1127
742	3245	1122
743	3250	1118
744	3253	1113
745	3258	1109
746	3261	1104
747	3263	1099
748	3268	1095
749	3270	1090
750	3273	1085
751	3275	1080
752	3277	1075
753	3285	1071
754	3287	1066
755	3289	1061
756	3292	1056
757	3295	1052
758	3300	1048
759	3303	1043
760	3305	1038
761	3308	1033
762	3311	1028
763	3317	1024
764	3319	1019
765	3322	1014
766	3326	1010
767	3332	1006
768	3334	1001
769	3337	996
770	3339	991
