iter	RMSE
387	12701.78963
388	12691.12474
389	12673.801
390	12672.23056
391	12671.1114
392	12659.67655
393	12653.72515
394	12644.32039
395	12640.31588
396	12633.21864
397	12623.76267
398	12617.95446
399	12602.87911
400	12602.27224
401	12584.88209
402	12584.07887
403	12571.64695
404	12566.17443
405	12565.65639
406	12551.87834
407	12548.08589
408	12546.25468
409	12538.06539
410	12530.8188
411	12524.88559
412	12521.09947
413	12505.79108
414	12501.97705
415	12494.21437
416	12487.37142
417	12479.49441
418	12476.06149
419	12474.67641
420	12471.10633
421	12469.20208
422	12459.92457
423	12456.33042
424	12455.14607
425	12441.71537
426	12437.00764
427	12427.37451
428	12421.60634
429	12420.45741
430	12415.13981
431	12409.79603
432	12404.84847
433	12391.8702
434	12388.00506
435	12381.6848
436	12380.1587
437	12379.24543
438	12363.06186
439	12358.98751
440	12356.20855
441	12351.13765
442	12342.08668
443	12338.42321
444	12332.39493
445	12327.95963
446	12315.37586
447	12313.13687
448	12304.77945
449	12292.27052
450	12291.7986
451	12291.12514
452	12283.31045
453	12279.91541
454	12259.00883
455	12251.56874
456	12249.04861
457	12246.06897
458	12236.03956
459	12228.24139
460	12220.38843
461	12215.42432
462	12213.12513
463	12211.37992
464	12200.89135
465	12195.22152
466	12185.10392
467	12182.98157
468	12178.07132
469	12176.87454
470	12173.96095
471	12171.42539
472	12169.39204
473	12164.74975
474	12159.45948
475	12148.07945
476	12140.39475
477	12132.20222
478	12124.65346
479	12119.04519
480	12117.88312
481	12102.40437
482	12101.63954
483	12094.59258
484	12088.73213
485	12082.21402
486	12080.12601
487	12071.11893
488	12062.80167
489	12056.72734
490	12053.54625
491	12052.01541
492	12051.61293
493	12046.01318
494	12044.01589
495	12039.62057
496	12035.18522
497	12033.49869
498	12030.69513
499	12021.03424
500	12018.57588
501	12014.18091
502	12006.76569
503	12003.62258
504	11995.56957
505	11989.77627
506	11989.21756
507	11987.75831
508	11972.12315
509	11958.18344
510	11957.79026
511	11956.32747
512	11955.29087
513	11949.19653
514	11944.0464
515	11939.15861
516	11933.97673
517	11933.74438
518	11928.59247
519	11923.48167
520	11922.5759
521	11918.11041
522	11907.72878
523	11902.78477
524	11902.1134
525	11896.66299
526	11895.62609
527	11891.72346
528	11890.12081
529	11883.69879
530	11879.5333
531	11877.074
532	11866.33425
533	11860.30229
534	11855.49394
535	11853.12519
536	11852.79115
537	11846.95892
538	11842.52859
539	11829.64858
540	11823.6425
541	11821.24229
542	11818.4765
543	11816.19399
544	11815.0736
545	11811.83896
546	11808.69277
547	11806.65502
548	11797.57856
549	11789.2192
550	11781.58873
551	11776.15522
552	11771.0075
553	11762.20447
554	11755.17619
555	11746.14991
556	11744.44855
557	11734.76257
558	11730.76147
559	11726.14348
560	11720.32974
561	11717.53105
562	11713.22151
563	11697.9913
564	11696.7272
565	11692.053
566	11691.01101
567	11686.77747
568	11681.63945
569	11678.71077
570	11671.04248
571	11660.1522
572	11651.90051
573	11648.06798
574	11635.94689
575	11632.59199
576	11629.40968
577	11626.97497
578	11625.84882
579	11625.66873
580	11624.81604
581	11620.06315
582	11619.78159
583	11615.60671
584	11606.07723
585	11600.00848
586	11599.73236
587	11594.70088
588	11589.84072
589	11587.01216
590	11586.69876
591	11577.20386
592	11571.03885
593	11566.65173
594	11564.0631
595	11563.1192
596	11559.24331
597	11556.10784
598	11549.75647
599	11545.43243
600	11539.14495
601	11528.19893
602	11523.12066
603	11519.91233
604	11516.50866
605	11510.87336
606	11507.55535
607	11505.28745
608	11500.28655
609	11496.92683
610	11494.89024
611	11491.59306
612	11491.32103
613	11487.74088
614	11483.26581
615	11482.70818
616	11474.1752
617	11469.49302
618	11460.95976
619	11457.61387
620	11454.12643
621	11452.30417
622	11447.97939
623	11443.47512
624	11442.27472
625	11432.48711
626	11425.08762
627	11422.53936
628	11420.83331
629	11418.2749
630	11414.80804
631	11410.46874
632	11409.9358
633	11401.5497
634	11397.23912
635	11394.34252
636	11391.91075
637	11388.69162
638	11385.59868
639	11383.88602
640	11378.66827
641	11378.28397
642	11375.88099
643	11370.49955
644	11368.4634
645	11368.26138
646	11365.53453
647	11363.75409
648	11359.41401
649	11357.03258
650	11355.73624
651	11351.1431
652	11346.42998
653	11343.41892
654	11333.36969
655	11325.39039
656	11322.3907
657	11311.73957
658	11307.45418
659	11304.84213
660	11299.59389
661	11295.58154
662	11292.55268
663	11292.33608
664	11288.94584
665	11286.80773
666	11284.3418
667	11283.86899
668	11283.28971
669	11283.033
670	11281.24165
671	11270.50534
672	11269.854
673	11268.90988
674	11267.32814
675	11261.64074
676	11260.51998
677	11256.57925
678	11252.70613
679	11250.70932
680	11248.45623
681	11245.35832
682	11239.21041
683	11236.95181
684	11234.97126
685	11231.9284
686	11231.33269
687	11230.04569
688	11228.1959
689	11225.61947
690	11220.0099
691	11217.52182
692	11214.60284
693	11212.3117
694	11211.31134
695	11208.03482
696	11205.37139
697	11205.14089
698	11202.8274
699	11202.62492
700	11198.41138
701	11196.99998
702	11195.78702
703	11188.81715
704	11184.26397
705	11174.20665
706	11171.67978
707	11170.26979
708	11170.04971
709	11169.86267
710	11169.20992
711	11166.12695
712	11158.29389
713	11156.97506
714	11156.83745
715	11152.89065
716	11149.38672
717	11146.77455
718	11146.64191
719	11144.64849
720	11141.83749
721	11140.91372
722	11137.2748
723	11133.16268
724	11131.12944
725	11129.76061
726	11128.28613
727	11126.83523
728	11124.96351
729	11122.39301
730	11121.5398
731	11119.05583
732	11117.55569
733	11116.13998
734	11111.67265
735	11111.08927
736	11100.77633
737	11098.4023
738	11095.97405
739	11086.93466
740	11084.64152
741	11076.40645
742	11072.85885
743	11070.39065
744	11068.71065
745	11065.32113
746	11061.37071
747	11059.93315
748	11057.18782
749	11056.50449
750	11052.2389
751	11049.98898
752	11046.52512
753	11044.49808
754	11037.48563
755	11030.59949
756	11029.04506
757	11027.21961
758	11018.80208
759	11017.94167
760	11016.81141
761	11012.39853
762	11011.28049
763	11005.31059
764	11002.68212
765	10999.45442
766	10995.46656
767	10993.58264
768	10992.4869
769	10990.6352
770	10989.28621
771	10987.20306
772	10980.83366
773	10977.13721
774	10976.30188
775	10975.16842
776	10971.098
777	10962.53872
778	10957.68907
779	10956.55572
780	10954.80388
781	10952.92312
782	10950.42145
783	10948.90275
784	10948.09933
785	10947.0979
786	10940.02212
787	10932.87
788	10931.11774
789	10930.26033
790	10923.44238
791	10919.02876
792	10917.68049
793	10914.74115
794	10908.06253
795	10907.4633
796	10904.12888
797	10903.329
798	10902.58358
799	10898.53769
800	10892.18456
801	10887.77886
802	10874.36069
803	10869.6057
804	10869.14493
805	10866.24928
806	10864.11022
807	10862.32842
808	10861.40777
809	10859.22779
810	10853.77144
811	10851.41216
812	10850.46766
813	10846.90068
814	10845.5334
815	10844.43909
816	10841.70185
817	10837.78308
818	10835.05354
819	10832.3154
820	10831.11397
821	10831.03053
822	10828.14909
823	10823.24472
824	10820.98846
825	10815.78251
826	10813.96602
827	10812.66657
828	10810.55327
829	10808.94077
830	10802.1419
831	10800.3821
832	10799.03175
833	10792.61631
834	10791.31305
835	10790.46781
836	10789.86395
837	10787.6633
838	10785.69446
839	10779.00804
840	10778.13063
841	10774.37945
842	10773.15302
843	10772.89888
844	10771.94432
845	10769.49774
846	10765.98091
847	10764.9187
848	10757.86862
849	10755.06381
850	10754.3293
851	10752.65615
852	10750.0542
853	10746.65756
854	10744.18632
855	10742.67711
856	10738.73058
857	10735.25605
858	10729.89882
859	10727.9119
860	10725.74688
861	10724.61194
862	10719.35016
863	10719.12585
864	10717.02206
865	10716.84837
866	10712.08496
867	10708.27796
868	10707.55368
869	10707.05308
870	10703.5222
871	10691.98075
872	10688.80926
873	10687.52911
874	10686.12776
875	10678.04024
876	10676.36197
877	10670.29187
878	10668.65876
879	10667.25337
880	10663.11767
881	10658.93119
882	10644.77982
883	10641.61068
884	10637.25163
885	10635.93227
886	10634.50024
887	10628.45504
888	10625.37733
889	10619.55317
890	10612.84411
891	10610.46902
892	10606.26265
893	10601.84287
894	10598.72781
895	10597.40424
896	10594.27204
897	10593.2376
898	10590.30564
899	10585.9426
900	10583.95997
901	10582.87166
902	10580.11508
903	10577.41348
904	10575.25485
905	10574.05808
906	10573.31103
907	10569.86555
908	10567.17687
909	10561.76662
910	10561.41922
911	10558.44702
912	10556.35477
913	10552.62811
914	10544.21014
915	10540.98265
916	10538.9934
917	10526.16212
918	10524.61936
919	10520.4415
920	10520.11517
921	10519.96061
922	10516.36188
923	10514.16967
924	10512.79202
925	10510.55987
926	10507.57981
927	10505.93169
928	10505.0374
929	10499.25314
930	10497.59964
931	10496.7692
932	10495.67522
933	10492.23823
934	10478.97936
935	10476.04645
936	10473.17106
937	10472.49791
938	10471.85864
939	10468.45186
940	10463.24008
941	10460.2734
942	10459.57183
943	10459.03474
944	10457.9451
945	10452.51102
946	10452.19397
947	10446.56634
948	10434.15286
949	10431.61032
950	10428.17599
951	10426.25985
952	10422.94063
953	10422.27646
954	10420.81151
955	10415.74114
956	10412.63238
957	10410.92902
958	10409.15107
959	10407.06487
960	10406.51131
961	10404.80578
962	10399.6684
963	10399.47816
964	10394.11293
965	10391.92418
966	10389.05203
967	10383.33127
968	10380.47806
969	10373.45651
970	10366.97464
971	10364.78359
972	10364.55751
973	10358.61223
974	10353.57725
975	10349.71134
976	10347.94813
977	10342.06335
978	10335.05153
979	10330.26749
980	10328.88103
981	10327.48181
982	10325.51167
983	10324.56988
984	10318.11577
985	10315.0115
986	10313.10545
987	10311.50482
988	10308.26557
989	10302.92009
990	10301.7249
991	10297.1721
992	10296.20879
993	10293.46419
994	10292.1788
995	10288.02701
996	10285.5279
997	10285.15544
998	10281.53452
999	10280.59151
